ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
2666,Ariana Grande,"Thank U, Next",1,1,7,2018-12-29,"November 3, 2018"
2667,Halsey,Without Me,2,2,11,2018-12-29,"October 4, 2018"
2668,Travis Scott,Sicko Mode,3,1,20,2018-12-29,"August 3, 2018"
2669,"Post Malone, Swae Lee",Sunflower,4,4,9,2018-12-29,"October 18, 2018"
2670,"Marshmello, Bastille",Happier,5,3,18,2018-12-29,"August 17, 2018"
2671,Panic! At The Disco,High Hopes,6,5,20,2018-12-29,"May 23, 2018"
2672,Mariah Carey,All I Want For Christmas Is You,7,6,29,2018-12-29,
2673,Kodak Black,ZEZE,8,2,10,2018-12-29,"October 12, 2018"
2674,"Lil Baby, Gunna",Drip Too Hard,9,4,14,2018-12-29,"September 9, 2018"
2675,Andy Williams,It's The Most Wonderful Time Of The Year,10,10,9,2018-12-29,
2676,Brenda Lee,Rockin' Around The Christmas Tree,11,11,26,2018-12-29,
2677,Burl Ives,A Holly Jolly Christmas,12,12,9,2018-12-29,
2678,Bobby Helms,Jingle Bell Rock,13,13,24,2018-12-29,
2679,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,14,11,14,2018-12-29,"September 14, 2018"
2680,Maroon 5,Girls Like You,15,1,30,2018-12-29,"May 30, 2018"
2681,Sheck Wes,Mo Bamba,16,6,17,2018-12-29,"September 15, 2016"
2682,Nat King Cole,The Christmas Song,17,17,16,2018-12-29,
2683,"benny blanco, Halsey, Khalid",Eastside,18,16,23,2018-12-29,"July 12, 2018"
2684,Ariana Grande,Breathin,19,12,18,2018-12-29,"August 17, 2018"
2685,5 Seconds Of Summer,Youngblood,20,7,29,2018-12-29,"April 12, 2018"
2686,Post Malone,Better Now,21,3,34,2018-12-29,"April 27, 2018"
2687,Meek Mill,Going Bad,22,6,3,2018-12-29,"November 30, 2018"
2688,Juice WRLD,Lucid Dreams,23,2,32,2018-12-29,"July 1, 2017"
2689,Ariana Grande,Imagine,24,NA,NA,2018-12-29,"December 14, 2018"
2690,DJ Snake,Taki Taki,25,11,12,2018-12-29,"September 28, 2018"
2691,Bad Bunny,MIA,26,5,10,2018-12-29,"October 11, 2018"
2692,Wham!,Last Christmas,27,27,8,2018-12-29,
2693,Nosed Reindeer,Rudolph The Red,28,27,3,2018-12-29,
2694,Ella Mai,Trip,29,11,20,2018-12-29,"August 3, 2018"
2695,Cardi B,Money,30,13,9,2018-12-29,"October 23, 2018"
2696,Flipp Dinero,Leave Me Alone,31,27,14,2018-12-29,"March 14, 2018"
2697,The Ronettes,Sleigh Ride,33,33,2,2018-12-29,
2698,Jose Feliciano,Feliz Navidad,34,34,4,2018-12-29,
2699,Gene Autry,Here Comes Santa Claus,35,35,2,2018-12-29,
2700,Dan + Shay,Speechless,36,33,15,2018-12-29,"May 18, 2018"
2701,"Khalid, Normani",Love Lies,37,9,44,2018-12-29,"February 14, 2018"
2702,Bazzi,Beautiful,38,30,20,2018-12-29,"August 2, 2018"
2703,Khalid,Better,39,29,14,2018-12-29,"September 14, 2018"
2704,"Cardi B, Bad Bunny, J Balvin",I Like It,40,1,37,2018-12-29,"April 6, 2018"
2705,Perry Como,Home For The Holidays,41,NA,NA,2018-12-29,
2706,Imagine Dragons,Natural,43,13,22,2018-12-29,"July 17, 2018"
2707,"Lady Gaga, Bradley Cooper",Shallow,44,5,12,2018-12-29,"September 27, 2018"
2708,Kodak Black,Calling My Spirit,46,46,3,2018-12-29,"November 30, 2018"
2709,Paul McCartney,Wonderful Christmastime,47,NA,NA,2018-12-29,
2710,Bing Crosby,White Christmas,48,12,14,2018-12-29,
2711,Lil Wayne,Uproar,49,7,12,2018-12-29,"October 5, 2018"
2712,Darlene Love,Christmas,50,NA,NA,2018-12-29,
2713,Luke Combs,She Got The Best Of Me,51,34,19,2018-12-29,"July 1, 2014"
2714,XXXTENTACION,BAD!,52,16,6,2018-12-29,"November 9, 2018"
2715,Meek Mill,Dangerous,53,31,18,2018-12-29,"July 6, 2018"
2716,Mitchell Tenpenny,Drunk Me,54,53,19,2018-12-29,"March 26, 2018"
2717,Jimmie Allen,Best Shot,55,46,14,2018-12-29,"October 12, 2018"
2718,Mark Ronson,Nothing Breaks Like A Heart,56,56,3,2018-12-29,"November 29, 2018"
2719,"Ellie Goulding, Diplo",Close To Me,57,57,5,2018-12-29,"October 24, 2018"
2720,Kodak Black,MoshPit,58,NA,NA,2018-12-29,"December 12, 2018"
2721,Lauren Daigle,You Say,59,44,23,2018-12-29,"July 13, 2018"
2722,"Tory Lanez, Rich The Kid",Talk To Me,61,61,8,2018-12-29,"June 21, 2018"
2723,"XXXTENTACION, Lil Pump",Arms Around You,62,28,8,2018-12-29,"October 23, 2018"
