ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
1,Lil Nas X,Old Town Road,1,1,7,2019-07-06,"April 5, 2019"
2,"Shawn Mendes, Camila Cabello",Senorita,2,NA,NA,2019-07-06,"June 21, 2019"
3,Billie Eilish,Bad Guy,3,2,13,2019-07-06,"March 29, 2019"
4,Khalid,Talk,4,3,20,2019-07-06,"February 7, 2019"
5,"Ed Sheeran, Justin Bieber",I Don't Care,5,2,7,2019-07-06,"May 10, 2019"
6,Jonas Brothers,Sucker,6,1,17,2019-07-06,"March 1, 2019"
7,DaBaby,Suge,7,7,13,2019-07-06,"March 1, 2019"
8,Drake,Money In The Grave,8,7,2,2019-07-06,"June 15, 2019"
9,Chris Brown,No Guidance,9,9,3,2019-07-06,"June 8, 2019"
10,Post Malone,Wow.,10,2,27,2019-07-06,"December 24, 2018"
11,Lizzo,Truth Hurts,11,11,8,2019-07-06,"September 19, 2017"
12,"Post Malone, Swae Lee",Sunflower,12,1,36,2019-07-06,"October 18, 2018"
13,Taylor Swift,You Need To Calm Down,13,2,2,2019-07-06,"June 14, 2019"
14,Shawn Mendes,If I Can't Have You,14,2,8,2019-07-06,"May 3, 2019"
15,"Sam Smith, Normani",Dancing With A Stranger,15,7,24,2019-07-06,"January 11, 2019"
16,Lil Nas X,Panini,16,NA,NA,2019-07-06,"June 20, 2019"
17,Halsey,Without Me,17,1,38,2019-07-06,"October 4, 2018"
18,Blake Shelton,God's Country,18,18,13,2019-07-06,"March 29, 2019"
19,Polo G,Pop Out,19,11,14,2019-07-06,"January 13, 2019"
20,Nicki Minaj,MEGATRON,20,NA,NA,2019-07-06,"June 21, 2019"
21,Ava Max,Sweet But Psycho,21,10,28,2019-07-06,"August 17, 2018"
22,"Lil Nas X, Cardi B",Rodeo,22,NA,NA,2019-07-06,"June 21, 2019"
23,Ariana Grande,7 Rings,23,1,23,2019-07-06,"January 18, 2019"
24,Panic! At The Disco,"Hey Look Ma, I Made It",24,24,11,2019-07-06,"June 22, 2018"
25,"Marshmello, Bastille",Happier,25,2,45,2019-07-06,"August 17, 2018"
26,Lee Brice,Rumor,26,25,16,2019-07-06,"November 3, 2017"
27,Katy Perry,Never Really Over,27,15,4,2019-07-06,"May 31, 2019"
28,Morgan Wallen,Whiskey Glasses,28,17,17,2019-07-06,"April 27, 2018"
29,Blanco Brown,The Git Up,29,29,3,2019-07-06,"May 2, 2019"
30,"Young Thug, J. Cole, Travis Scott",The London,30,12,5,2019-07-06,"May 23, 2019"
