ID,Name,Artists,Streams,S.Week,BB.Week
0,In My Feelings,Drake,30747676,2018-07-20,2018-07-21
1,Lucid Dreams,Juice WRLD,12930705,2018-07-20,2018-07-21
2,Nonstop,Drake,12312859,2018-07-20,2018-07-21
3,God Is A Woman,Ariana Grande,10771324,2018-07-20,2018-07-21
4,SAD!,XXXTENTACION,10503061,2018-07-20,2018-07-21
5,Taste,Tyga,9777479,2018-07-20,2018-07-21
6,Don’t Matter To Me,Drake,9769263,2018-07-20,2018-07-21
7,I Like It,Cardi B,9278476,2018-07-20,2018-07-21
8,Moonlight,XXXTENTACION,8544143,2018-07-20,2018-07-21
9,Girls Like You,Maroon 5,8257586,2018-07-20,2018-07-21
10,Nice For What,Drake,8193242,2018-07-20,2018-07-21
11,Better Now,Post Malone,7877292,2018-07-20,2018-07-21
12,Summertime Magic,Childish Gambino,7519515,2018-07-20,2018-07-21
13,Yes Indeed,Lil Baby,7436762,2018-07-20,2018-07-21
14,I'm Upset,Drake,7313974,2018-07-20,2018-07-21
15,God's Plan,Drake,6886838,2018-07-20,2018-07-21
16,Mob Ties,Drake,6010125,2018-07-20,2018-07-21
17,Jackie Chan,Tiësto,5589022,2018-07-20,2018-07-21
18,Youngblood,5 Seconds of Summer,5476526,2018-07-20,2018-07-21
19,Psycho,Post Malone,5461822,2018-07-20,2018-07-21
20,Eastside,"benny blanco, Halsey, Khalid",5325080,2018-07-20,2018-07-21
21,Ocean,Martin Garrix,5277329,2018-07-20,2018-07-21
22,Jocelyn Flores,XXXTENTACION,5145261,2018-07-20,2018-07-21
23,All Girls Are The Same,Juice WRLD,5073925,2018-07-20,2018-07-21
24,changes,XXXTENTACION,5023686,2018-07-20,2018-07-21
25,APESHIT,The Carters,4830730,2018-07-20,2018-07-21
26,Look Alive,BlocBoy JB,4826668,2018-07-20,2018-07-21
27,Boo'd Up,Ella Mai,4748460,2018-07-20,2018-07-21
28,No Tears Left To Cry,Ariana Grande,4509464,2018-07-20,2018-07-21
