ID,Name,Artists,Streams,S.Week,BB.Week
999,Going Bad,Meek Mill,6523365,2019-04-12,2019-04-13
1001,7 Rings,Ariana Grande,6439592,2019-04-12,2019-04-13
1002,Sucker,Jonas Brothers,6385996,2019-04-12,2019-04-13
1003,Old Town Road,Lil Nas X,20673623,2019-04-12,2019-04-13
1004,bad guy,Billie Eilish,13890824,2019-04-12,2019-04-13
1005,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,8696363,2019-04-12,2019-04-13
1006,wish you were gay,Billie Eilish,8165235,2019-04-12,2019-04-13
1007,MIDDLE CHILD,J. Cole,7808654,2019-04-12,2019-04-13
1008,Swervin,A Boogie Wit da Hoodie,7378430,2019-04-12,2019-04-13
1009,Talk,Khalid,7292412,2019-04-12,2019-04-13
1010,Outta My Head,"Khalid, John Mayer",7094716,2019-04-12,2019-04-13
1011,Better,Khalid,6978918,2019-04-12,2019-04-13
1012,Wow.,Post Malone,6948506,2019-04-12,2019-04-13
1013,bury a friend,Billie Eilish,6887623,2019-04-12,2019-04-13
1014,My Bad,Khalid,6679962,2019-04-12,2019-04-13
1015,Murder On My Mind,YNW Melly,6618213,2019-04-12,2019-04-13
1016,when the party's over,Billie Eilish,6176551,2019-04-12,2019-04-13
1017,Monopoly,"Ariana Grande, Victoria Monet",5512870,2019-04-12,2019-04-13
1018,Pure Water,"Mustard, Migos",5453259,2019-04-12,2019-04-13
1019,Mixed Personalities,YNW Melly,5324871,2019-04-12,2019-04-13
1020,Robbery,Juice WRLD,5229177,2019-04-12,2019-04-13
1021,Saturday Nights,Khalid,5131881,2019-04-12,2019-04-13
1022,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,5080706,2019-04-12,2019-04-13
1023,my strange addiction,Billie Eilish,5076956,2019-04-12,2019-04-13
1024,xanny,Billie Eilish,4998364,2019-04-12,2019-04-13
1025,you should see me in a crown,Billie Eilish,4973748,2019-04-12,2019-04-13
1026,Don't Pretend,Khalid,4973336,2019-04-12,2019-04-13
1027,all the good girls go to hell,Billie Eilish,4909126,2019-04-12,2019-04-13
1028,Kill This Love,BLACKPINK,4767088,2019-04-12,2019-04-13
1029,a lot,21 Savage,4644463,2019-04-12,2019-04-13
1030,Drip Too Hard (Lil Baby & Gunna),Lil Baby,4620959,2019-04-12,2019-04-13
1031,Racks In The Middle,Nipsey Hussle,4493543,2019-04-12,2019-04-13
1032,Cool,Jonas Brothers,4324557,2019-04-12,2019-04-13
1033,Faucet Failure,Ski Mask The Slump God,4207689,2019-04-12,2019-04-13
1034,Bad Luck,Khalid,4146097,2019-04-12,2019-04-13
1035,Look Back At It,A Boogie Wit da Hoodie,4039101,2019-04-12,2019-04-13
1036,Envy Me,Calboy,4015447,2019-04-12,2019-04-13
1037,Without Me,Halsey,3987874,2019-04-12,2019-04-13
1038,lovely,Billie Eilish,3971050,2019-04-12,2019-04-13
1039,Let Me Down Slowly,Alec Benjamin,3949567,2019-04-12,2019-04-13
1040,SICKO MODE,Travis Scott,3945982,2019-04-12,2019-04-13
1041,Right Back,Khalid,3945373,2019-04-12,2019-04-13
1042,Happier,Marshmello,3937560,2019-04-12,2019-04-13
1043,i love you,Billie Eilish,3880613,2019-04-12,2019-04-13
1044,Thotiana,Blueface,3863457,2019-04-12,2019-04-13
1045,"Thank U, Next",Ariana Grande,3836034,2019-04-12,2019-04-13
1046,Here With Me,Marshmello,3818561,2019-04-12,2019-04-13
1047,Free Spirit,Khalid,3784529,2019-04-12,2019-04-13
